course_id,coupon_type,coupon_code,start_date,start_time
4392922,best_price,NOV-1111,2022-10-28,05:00
3731444,best_price,NOV-1112,2022-10-28,05:00
3418642,best_price,NOV-1113,2022-10-28,05:00
2321788,best_price,NOV-1114,2022-10-28,05:00
2276701,best_price,NOV-1115,2022-10-28,05:00
2187592,best_price,NOV-1116,2022-10-28,05:00
1878846,best_price,NOV-1117,2022-10-28,05:00
1865400,best_price,NOV-1118,2022-10-28,05:00
1864936,best_price,NOV-1119,2022-10-28,05:00
1733494,best_price,NOV-1120,2022-10-28,05:00
1465666,best_price,NOV-1121,2022-10-28,05:00
1432416,best_price,NOV-1122,2022-10-28,05:00
1427824,best_price,NOV-1123,2022-10-28,05:00
1340588,best_price,NOV-1124,2022-10-28,05:00
1294480,best_price,NOV-1125,2022-10-28,05:00
1242424,best_price,NOV-1126,2022-10-28,05:00
1147478,best_price,NOV-1127,2022-10-28,05:00
